Rank,Bank Name,Market_Cap_US_billions,Market_Cap_GBP_billions,Market_Cap_EUR_billions,Market_Cap_INR_billions
1,JPMorgan Chase,432.92,346.336,402.61560000000003,35910.714
2,Bank of America,231.52,185.216,215.3136,19204.584000000003
3,Industrial and Commercial Bank of China,194.56,155.64800000000002,180.94080000000002,16138.752
4,Agricultural Bank of China,160.68,128.544,149.4324,13328.406
5,HDFC Bank,157.91,126.328,146.8563,13098.6345
6,Wells Fargo,155.87,124.69600000000001,144.9591,12929.416500000001
7,HSBC Holdings PLC,148.90,119.12,138.477,12351.255000000001
8,Morgan Stanley,140.83,112.66400000000002,130.9719,11681.848500000002
9,China Construction Bank,139.82,111.856,130.0326,11598.069
10,Bank of China,136.81,109.44800000000001,127.23330000000001,11348.389500000001
